mongo_id,object,material,brand,image_url,segment_id,lat,lon,LSOA,loc,segment_distance,land_use,lsoa_name,region,imd_score,income_score,employment_score,education_score,health_score,crime_score,housing_score,environment_score,urban_rural_desc,parent_company,brand_category,object_category
62dab2fd219743829c744bc8,can,aluminum,cocacola,https://media.litterati.org/images/2022/07/22/284078-ltr_1658499810.7047439_70D47739-A137-4F64-A4AA-5759E06AE8CF.jpg,23350,53.5872981465,-2.0900604967,E01005441,Loc_009,52.8,Low Obstruction housing areas,Oldham 002A,North West (England),40.0,0.218,0.206,27.584,1.089,1.323,23.0,14.223,Urban major conurbation,cocacola,softdrink,drink
62dec4f553f434320d819ca4,bottle,plastic,smartwater,https://media.litterati.org/images/2022/07/25/283978-ltr_1658766513.100028_109A9613-3BD3-4639-9AD2-69172A6886B3.jpg,23671,51.4767735646,-0.129834670639,E01003121,Loc_004,53.3,Main roads,Lambeth 006B,London,32.792,0.251,0.154,18.234,0.593,0.039,29.036,30.238,Urban major conurbation,cocacola,softdrink,drink
62dec4f553f434320d819ca4,bottlecap,plastic,smartwater,https://media.litterati.org/images/2022/07/25/283978-ltr_1658766513.100028_109A9613-3BD3-4639-9AD2-69172A6886B3.jpg,23671,51.4767735646,-0.129834670639,E01003121,Loc_004,53.3,Main roads,Lambeth 006B,London,32.792,0.251,0.154,18.234,0.593,0.039,29.036,30.238,Urban major conurbation,cocacola,softdrink,drink
62dfe2ce6b1f5e434da5958d,can,aluminum,budweiser,https://media.litterati.org/images/2022/07/26/284078-ltr_1658839511.4757_E654AFBC-A9BF-4EDF-B824-B115A886DF14.jpg,23911,53.4289436276,-2.29072074406,E01006164,Loc_011,58.6,Main roads,Trafford 014C,North West (England),10.536,0.059,0.051,2.394,-0.542,0.753,18.625,18.645,Urban major conurbation,inbev,alcohol,drink
62dfe9f86b1f5e434da59f21,can,aluminum,pepsi,https://media.litterati.org/images/2022/07/26/283434-ltr-1658841087852_cad9cacd-55c0-4e75-89b5-98ff60a17e16.jpg,23934,51.4038748,0.1066247,E01000729,Loc_001,107.0,Medium Obstruction housing areas,Bromley 014A,London,40.937,0.276,0.192,37.926,0.55,1.005,30.032,15.74,Urban major conurbation,Pepsico,softdrink,drink
633c67ca20bb76c921f8aaba,can,aluminum,cocacola,https://media.litterati.org/images/image/2022/07/26/283978-ltr_1658818297.37942_3A80494B-B25C-46E0-9EC9-A4C48EAB9E27.jpg,23714,51.4637600096,-0.0596558845614,E01004019,Loc_001,52.0,Medium Obstruction housing areas,Southwark 026C,London,24.043,0.193,0.115,7.823,0.027,-0.1,34.424,22.796,Urban major conurbation,cocacola,softdrink,drink
62dec6d353f434320d819df2,bottle,plastic,fanta,https://media.litterati.org/images/2022/07/25/283978-ltr_1658766995.200243_139F6D23-E9DB-46D6-8590-902898B74C39.jpg,23673,51.4786001125,-0.128610510465,E01003121,Loc_003,50.6,Medium Obstruction housing areas,Lambeth 006B,London,32.792,0.251,0.154,18.234,0.593,0.039,29.036,30.238,Urban major conurbation,cocacola,softdrink,drink
62dec6d353f434320d819df2,bottlecap,plastic,fanta,https://media.litterati.org/images/2022/07/25/283978-ltr_1658766995.200243_139F6D23-E9DB-46D6-8590-902898B74C39.jpg,23673,51.4786001125,-0.128610510465,E01003121,Loc_003,50.6,Medium Obstruction housing areas,Lambeth 006B,London,32.792,0.251,0.154,18.234,0.593,0.039,29.036,30.238,Urban major conurbation,cocacola,softdrink,drink
62dfe2d46b1f5e434da59619,bottle,plastic,lucozade,https://media.litterati.org/images/2022/07/26/283938-ltr-1658839590146_b9025134-3bf3-415a-8208-ceca52bf2de6.jpg,23914,51.5258366,-0.4332305,E01002423,Loc_014,54.0,Industry warehousing retail sheds & science parks,Hillingdon 018B,London,13.735,0.08,0.075,13.32,-0.838,0.144,25.0,20.645,Urban major conurbation,Suntory,softdrink,drink
633c67d093e67a54c691a74e,can,aluminum,cocacola,https://media.litterati.org/images/2022/07/26/284030-ltr-1658826331854_0733c323-55f1-4f74-b2e5-c832aadc322b.jpg,23784,51.8770326,-0.4202362,E01015735,Loc_011,109.0,Medium Obstruction housing areas,Luton 020D,East of England,37.416,0.204,0.127,33.928,0.69,0.854,44.921,30.843,Urban city and town,cocacola,softdrink,drink
62dfb2f46b1f5e434da4ef87,cup,paper,mcdonalds,https://media.litterati.org/images/2022/07/26/283978-ltr_1658827420.159704_39D698C2-F92A-4C35-9D8F-1A343A8EF477.jpg,23796,51.4816793445,-0.0756761410479,E01004014,Loc_001,50.5,Medium Obstruction housing areas,Southwark 019E,London,33.895,0.26,0.148,12.598,0.534,-0.128,43.638,22.491,Urban major conurbation,McDonalds,fastfood,drink
633c67ad0479b9e68f81052e,bottle,plastic,cocacola,https://media.litterati.org/images/2022/07/21/284328-ltr-1658400156340_eabc1be8-17a3-4683-8388-f6867f25cbc5.jpg,23252,51.4320415,0.4019821,E01024261,Loc_012,30.0,Medium Obstruction housing areas,Gravesham 003B,South East (England),11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,Urban major conurbation,cocacola,softdrink,drink
62d2b7369a26f39fcfceb98a,can,aluminum,pepsi,https://media.litterati.org/images/2022/07/16/284199-ltr_1657957962.820931_D51E2CA3-FE55-4045-B8A2-B2C632CC8667.jpg,22236,51.678807547,-1.18172278635,E01028641,Loc_008,20.2,Rural roads,South Oxfordshire 006D,South East (England),8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,Rural village and dispersed,Pepsico,softdrink,drink
62dfe9fc6b1f5e434da59f54,can,aluminum,cocacola,https://media.litterati.org/images/2022/07/26/283434-ltr-1658841263139_e4b70c88-4259-4adf-abd0-36a8c73a8f9f.jpg,23934,51.404212,0.1062566,E01000729,Loc_001,107.0,Medium Obstruction housing areas,Bromley 014A,London,40.937,0.276,0.192,37.926,0.55,1.005,30.032,15.74,Urban major conurbation,cocacola,softdrink,drink
633c67e8c81fce745cebb7c8,can,aluminum,redbull,https://media.litterati.org/images/2022/07/26/284030-ltr-1658824443936_4455c373-6113-45ad-8cce-b771965cc6fd.jpg,23763,51.8768446,-0.4235732,E01015735,Loc_013,109.0,Medium Obstruction housing areas,Luton 020D,East of England,37.416,0.204,0.127,33.928,0.69,0.854,44.921,30.843,Urban city and town,RedBull,softdrink,drink
633c67e8c81fce745cebb7c8,can,aluminum,redbull,https://media.litterati.org/images/2022/07/26/284030-ltr-1658824443936_4455c373-6113-45ad-8cce-b771965cc6fd.jpg,23763,51.8768446,-0.4235732,E01015735,Loc_013,109.0,Medium Obstruction housing areas,Luton 020D,East of England,37.416,0.204,0.127,33.928,0.69,0.854,44.921,30.843,Urban city and town,RedBull,softdrink,drink
633c67e8c81fce745cebb7c8,can,aluminum,redbull,https://media.litterati.org/images/2022/07/26/284030-ltr-1658824443936_4455c373-6113-45ad-8cce-b771965cc6fd.jpg,23763,51.8768446,-0.4235732,E01015735,Loc_013,109.0,Medium Obstruction housing areas,Luton 020D,East of England,37.416,0.204,0.127,33.928,0.69,0.854,44.921,30.843,Urban city and town,RedBull,softdrink,drink
