object,material,count,weight,volume
aluminumfoil,any,"9,729",2,10
aluminumfoil,aluminum,"7,201",2,10
bag,plastic,"107,386",0.2,3
bag,any,"21,093",0.2,3
bag,paper,"13,270",0.2,5
balloon,plastic,"12,293",0.1,1
balloon,any,"10,722",0.1,3
balloon,rubber,"7,828",0.2,3
battery,any,"2,263",5,5
bottle,plastic,"160,170",10,330
bottle,any,"60,620",20,330
bottle,glass,"35,202",200,330
bottlecap,plastic,"62,575",0.3,2
bottlecap,any,"31,989",0.3,2
bottlecap,metal,"26,649",0.1,2
bottlecap,polypropylene,"2,515",0.2,2
bottlering,plastic,"2,062",0.1,1
box,paper,"2,078",2,15
can,metal,"199,741",15,330
can,aluminum,"118,063",15,330
can,any,"115,919",15,330
can,plastic,"9,009",15,330
cardboard,any,"20,483",2,100
chewinggum,any,"4,539",0.2,1
cigarettebutt,any,"476,989",0.2,0.77
cigarettebutt,celluloseacetate,"230,680",0.2,0.77
cigarettebutt,plastic,"50,713",0.2,0.77
cigarettebutt,paper,"9,595",0.2,0.77
cigarettebutt,textile,"3,691",0.2,0.77
cigarettepack,any,"25,750",3,120
cigarettepack,paper,"17,947",3,120
cigarettepack,plastic,"14,884",3,120
cleaningcloth,textile,"3,717",1,10
confetti,plastic,"6,247",0.01,0.1
container,plastic,"5,445",5,500
cup,plastic,"69,041",3,220
cup,any,"34,587",3,220
coffeecup,paper,,2.5,150
cup,paper,"23,519",3,220
cup,polystyrene,"3,772",3,220
cutlery,plastic,"16,251",0.2,5
cutlery,any,"4,149",0.2,5
dog poo,any,"22,774",,
drinkcarton,any,"17,525",6,200
drinkcarton,plastic,"12,800",6,200
drinkcarton,paper,"2,473",6,200
drinkpouch,plastic,"7,854",6,200
drinkpouch,any,"2,598",6,200
firework,plastic,"16,864",1,5
firework,paper,"6,926",1,5
firework,any,"6,095",1,5
flyer,paper,"2,272",0.3,2
glove,plastic,"9,265",0.2,5
glove,any,"3,419",0.2,5
knetterbal,any,"7,548",0.5,5
knetterbal,plastic,"2,645",0.5,5
label,plastic,"5,650",0.1,0.5
lid,plastic,"34,134",0.5,4
lid,any,"8,176",0.5,4
lighter,plastic,"5,815",5,16
lighter,any,"2,597",0.5,8
lollipop,plastic,"11,006",0.1,0.5
lollipop,any,"2,076",0.1,0.5
lollipop,wood,"2,073",0.1,0.5
any,plastic,"8,640",0.1,1
any,any,"3,605",,
package,plastic,"1,913",0.1,0.5
packet,plastic,"4,196",0.1,0.5
packet,any,"2,741",0.1,0.5
pen,any,"4,610",0.5,5
pen,plastic,"3,013",0.5,5
piece,plastic,"98,412",0.5,5
piece,paper,"47,348",0.5,5
piece,polystyrene,"17,846",0.1,10
piece,any,"8,417",0.5,5
piece,glass,"5,428",0.5,5
rope,any,"3,618",1,10
rope,plastic,"3,429",1,10
rubberband,any,"2,544",0.5,2
shotgunshell,plastic,"2,319",1,5
stirrer,plastic,"2,822",0.1,1
strap,plastic,"4,954",0.5,2
straw,plastic,"40,584",0.5,8
straw,any,"14,882",0.5,8
strip,plastic,"1,870",0.1,1
tape,plastic,"4,142",0.1,1
tape,any,"3,193",0.1,1
ticket,paper,"17,533",0.1,1
ticket,any,"4,096",0.1,1
tiewrap,plastic,"9,536",0.1,2
tiewrap,any,"1,992",0.1,2
tissue,paper,"35,877",0.1,0.5
tissue,any,"16,664",0.1,0.5
tissue,plastic,"2,556",0.1,0.5
toy,plastic,"3,806",10,100
tray,plastic,"3,450",20,300
wetwipes,any,"2,303",1,5
wrapper,plastic,"322,894",0.2,0.5
wrapper,any,"115,771",0.2,0.5
wrapper,paper,"35,233",0.2,0.5
wrapper,aluminum,"10,337",0.2,0.5
newspaper,any,,20,10
facemask,any,,3.5,10
tyre,any,,10000,7000
qtip,any,,0.4,3
gascharger,any,,8,16
shoe,any,,1000,1000
wire,any,,10,10
foodwaste,any,,50,50
clothing,any,,300,300
binbag,any,,250,2500
blisterstrip,any,,2,20
carrierbag,any,,200,2000
chipsbag,any,,0.5,1
condimentpacket,any,,1,5
fireworks,any,,5,50
gloves,any,,15,200
hairtie,any,,2,5
largebottle,any,,42,2000
largebox,any,,50,4000
strawwrapper,any,,0.2,0.5
tube,any,,1,50
ziplock,any,,1,100
