segment_id,segment_distance,loc,mongo_id,LSOA,lsoa_name,region,imd_score,land_use,urban_rural_desc,litter_per_meter
23365,55.0,Loc_006,62dabbbb1deaef90a25d3bbb,E01013831,Nottingham 009C,East Midlands (England),18.146,Low Obstruction housing areas,Urban minor conurbation,
23669,50.0,Loc_004,633c67c70479b9e68f81054c,E01003121,Lambeth 006B,London,32.792,Main roads,Urban major conurbation,
23302,121.4,Loc_011,62d974cf7325e0841b9e3c8b,E01017257,Southampton 026B,South East (England),31.276,Low Obstruction housing areas,Urban city and town,
23966,105.0,Loc_003,62dff687b28eaac7f33b31bc,E01000729,Bromley 014A,London,40.937,High Obstruction housing areas,Urban major conurbation,
23734,27.0,Loc_007,62df9e636b1f5e434da4b760,E01015735,Luton 020D,East of England,37.416,Low Obstruction housing areas,Urban city and town,
23949,103.0,Loc_002,62dfee19b28eaac7f33b256f,E01000729,Bromley 014A,London,40.937,Low Obstruction housing areas,Urban major conurbation,
22236,20.2,Loc_008,62d2b7379a26f39fcfceb9af,E01028641,South Oxfordshire 006D,South East (England),8.5,Rural roads,Rural village and dispersed,
23800,51.3,Loc_002,62dfb5f76b1f5e434da4f120,E01004014,Southwark 019E,London,33.895,Main roads,Urban major conurbation,
23861,53.0,Loc_011,62dfcc886b1f5e434da56208,E01004165,Sutton 005C,London,16.373,Medium Obstruction housing areas,Urban major conurbation,
23426,55.0,Loc_011,62dbeb29f6dab3daaa39a90e,E01013826,Nottingham 011E,East Midlands (England),56.421,Recreation areas,Urban minor conurbation,
23853,53.0,Loc_005,62dfc9236b1f5e434da552d7,E01004165,Sutton 005C,London,16.373,Medium Obstruction housing areas,Urban major conurbation,
23241,64.0,Loc_001,62d942dda975547ba0685e7f,E01024261,Gravesham 003B,South East (England),11.142,Rural roads,Urban major conurbation,
23428,53.0,Loc_011,62dbfc8ef6dab3daaa39e056,E01013826,Nottingham 011E,East Midlands (England),56.421,Recreation areas,Urban minor conurbation,
23240,32.0,Loc_001,62d942d9b40be55787c2d1f4,E01024261,Gravesham 003B,South East (England),11.142,Rural roads,Urban major conurbation,
23671,53.3,Loc_004,62dec4f653f434320d819cac,E01003121,Lambeth 006B,London,32.792,Main roads,Urban major conurbation,
23650,52.9,Loc_012,62deb506bde2bd68bda1d7bd,E01003121,Lambeth 006B,London,32.792,Medium Obstruction housing areas,Urban major conurbation,
23786,61.6,Loc_008,62dfb09d6b1f5e434da4ecd2,E01000674,Bromley 008A,London,12.232,High Obstruction housing areas,Urban major conurbation,
23447,64.8,Loc_015,62dc0766f6dab3daaa39efd3,E01017257,Southampton 026B,South East (England),31.276,Medium Obstruction housing areas,Urban city and town,
23388,66.5,Loc_015,62dac8441deaef90a25d48d3,E01002899,Kensington and Chelsea 018A,London,21.45,Other retail commercial areas,Urban major conurbation,
23256,62.0,Loc_006,62d94301a975547ba0685fff,E01024261,Gravesham 003B,South East (England),11.142,Medium Obstruction housing areas,Urban major conurbation,
22594,54.5,Loc_003,62d3cdf8ff2bbb7802bf5a24,E01028496,Cherwell 018D,South East (England),12.921,Other retail commercial areas,Urban city and town,
23645,96.0,Loc_013,62deaf76bde2bd68bda1b939,E01003121,Lambeth 006B,London,32.792,Medium Obstruction housing areas,Urban major conurbation,
23914,54.0,Loc_014,62dfe2d36b1f5e434da59610,E01002423,Hillingdon 018B,London,13.735,Industry warehousing retail sheds & science parks,Urban major conurbation,
23622,124.0,Loc_012,62de9905bde2bd68bda16760,E01027574,Craven 005A,Yorkshire and The Humber,7.017,Medium Obstruction housing areas,Urban city and town,
23789,51.9,Loc_012,62dfb1d66b1f5e434da4ed70,E01000674,Bromley 008A,London,12.232,High Obstruction housing areas,Urban major conurbation,
23794,54.5,Loc_001,62dfb26d6b1f5e434da4ede7,E01004014,Southwark 019E,London,33.895,Medium Obstruction housing areas,Urban major conurbation,
23934,107.0,Loc_001,62dfe9fc6b1f5e434da59f62,E01000729,Bromley 014A,London,40.937,Medium Obstruction housing areas,Urban major conurbation,
23360,53.1,Loc_010,62debf7a53f434320d817f81,E01005441,Oldham 002A,North West (England),40.0,Low Obstruction housing areas,Urban major conurbation,
23776,77.0,Loc_009,62dfaae06b1f5e434da4e441,E01015735,Luton 020D,East of England,37.416,Medium Obstruction housing areas,Urban city and town,
23775,73.0,Loc_009,62dfaadf6b1f5e434da4e43a,E01015735,Luton 020D,East of England,37.416,Medium Obstruction housing areas,Urban city and town,
23923,55.0,Loc_009,62dfe4f06b1f5e434da599d6,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23337,107.0,Loc_010,62da9d13219743829c743094,E01013831,Nottingham 009C,East Midlands (England),18.146,Industry warehousing retail sheds & science parks,Urban minor conurbation,
23037,55.2,Loc_015,62d7bd7055499acc33df3223,E01013105,East Riding of Yorkshire 027A,Yorkshire and The Humber,15.441,Medium Obstruction housing areas,Urban city and town,
23767,105.0,Loc_006,62dfa8f86b1f5e434da4e1fa,E01015735,Luton 020D,East of England,37.416,Other retail commercial areas,Urban city and town,
23666,51.8,Loc_001,62dec2e653f434320d8189c7,E01003121,Lambeth 006B,London,32.792,Other retail commercial areas,Urban major conurbation,
23470,56.0,Loc_002,62dd16aee17a43df5d3b9622,E01013826,Nottingham 011E,East Midlands (England),56.421,Medium Obstruction housing areas,Urban minor conurbation,
23643,56.0,Loc_007,62deae51bde2bd68bda1b57e,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23350,52.8,Loc_009,62dab2fd219743829c744bc8,E01005441,Oldham 002A,North West (England),40.0,Low Obstruction housing areas,Urban major conurbation,
22248,111.8,Loc_015,62d2b73b9a26f39fcfceba2c,E01028641,South Oxfordshire 006D,South East (England),8.5,Rural roads,Rural village and dispersed,
23458,55.6,Loc_008,62dc181aa5906194f54193ba,E01017257,Southampton 026B,South East (England),31.276,Medium Obstruction housing areas,Urban city and town,
23880,52.4,Loc_011,62dfd7cd6b1f5e434da57de5,E01000674,Bromley 008A,London,12.232,High Obstruction housing areas,Urban major conurbation,
23796,50.5,Loc_001,62dfb2f06b1f5e434da4ef6c,E01004014,Southwark 019E,London,33.895,Medium Obstruction housing areas,Urban major conurbation,
23644,51.0,Loc_007,62deae54bde2bd68bda1b5bf,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23805,54.9,Loc_005,62dfb9146b1f5e434da52108,E01004014,Southwark 019E,London,33.895,Main roads,Urban major conurbation,
23647,112.0,Loc_008,62deb226bde2bd68bda1bdf7,E01003121,Lambeth 006B,London,32.792,Main roads,Urban major conurbation,
23367,59.6,Loc_015,62dfc04f6b1f5e434da537a0,E01005441,Oldham 002A,North West (England),40.0,Main roads,Urban major conurbation,
23296,123.6,Loc_001,62d9656c7094277fe6809c99,E01017257,Southampton 026B,South East (England),31.276,Medium Obstruction housing areas,Urban city and town,
22615,58.8,Loc_010,62d3eaf1ff2bbb7802bfb55e,E01028496,Cherwell 018D,South East (England),12.921,Low Obstruction housing areas,Urban city and town,
23793,52.0,Loc_002,62dfb2706b1f5e434da4ee43,E01004165,Sutton 005C,London,16.373,Medium Obstruction housing areas,Urban major conurbation,
23656,53.3,Loc_005,62debc0153f434320d817b08,E01003121,Lambeth 006B,London,32.792,Medium Obstruction housing areas,Urban major conurbation,
23920,66.2,Loc_009,62dfe66e6b1f5e434da59cf9,E01006164,Trafford 014C,North West (England),10.536,Main roads,Urban major conurbation,
23912,57.0,Loc_011,62dfe2d56b1f5e434da59628,E01006164,Trafford 014C,North West (England),10.536,Main roads,Urban major conurbation,
23783,111.0,Loc_011,62dfaea26b1f5e434da4ea93,E01015735,Luton 020D,East of England,37.416,Medium Obstruction housing areas,Urban city and town,
23601,52.0,Loc_002,62de8bb3e5d4d41d667fa52b,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23826,51.6,Loc_012,62dfbfdd6b1f5e434da536a1,E01004014,Southwark 019E,London,33.895,Medium Obstruction housing areas,Urban major conurbation,
23364,57.5,Loc_003,62dfc04b6b1f5e434da5376c,E01005441,Oldham 002A,North West (England),40.0,Main roads,Urban major conurbation,
23945,58.0,Loc_015,62dfed4db28eaac7f33b232b,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23833,54.0,Loc_007,62dfc26e6b1f5e434da5410f,E01004165,Sutton 005C,London,16.373,Medium Obstruction housing areas,Urban major conurbation,
23948,107.0,Loc_002,62dfee14b28eaac7f33b2522,E01000729,Bromley 014A,London,40.937,Low Obstruction housing areas,Urban major conurbation,
23893,56.0,Loc_011,62dfdc296b1f5e434da58572,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23871,52.0,Loc_012,62dfd35a6b1f5e434da572c7,E01004165,Sutton 005C,London,16.373,Medium Obstruction housing areas,Urban major conurbation,
23448,55.5,Loc_015,62dc081af6dab3daaa39f1b0,E01017257,Southampton 026B,South East (England),31.276,Medium Obstruction housing areas,Urban city and town,
23649,58.8,Loc_012,62deb477bde2bd68bda1d4c1,E01003121,Lambeth 006B,London,32.792,Medium Obstruction housing areas,Urban major conurbation,
23714,52.0,Loc_001,62df8f396b1f5e434da4ac32,E01004019,Southwark 026C,London,24.043,Medium Obstruction housing areas,Urban major conurbation,
23659,60.9,Loc_009,633c67c6341817af8e96e151,E01003121,Lambeth 006B,London,32.792,Medium Obstruction housing areas,Urban major conurbation,
23474,55.0,Loc_003,62dd185be17a43df5d3bb6d8,E01013826,Nottingham 011E,East Midlands (England),56.421,Medium Obstruction housing areas,Urban minor conurbation,
23773,55.0,Loc_008,62dfaaec6b1f5e434da4e458,E01004165,Sutton 005C,London,16.373,Other retail commercial areas,Urban major conurbation,
22251,27.1,Loc_014,62d2b73f9a26f39fcfcebaac,E01028641,South Oxfordshire 006D,South East (England),8.5,Rural roads,Rural village and dispersed,
23913,78.0,Loc_014,633c67debeac1b5884494765,E01002423,Hillingdon 018B,London,13.735,Industry warehousing retail sheds & science parks,Urban major conurbation,
23907,54.8,Loc_014,62dfe0e26b1f5e434da593e7,E01006164,Trafford 014C,North West (England),10.536,Recreation areas,Urban major conurbation,
23425,54.0,Loc_011,62dbeb26f6dab3daaa39a8d8,E01013826,Nottingham 011E,East Midlands (England),56.421,Recreation areas,Urban minor conurbation,
23863,54.7,Loc_009,62dfceac6b1f5e434da56bb7,E01000674,Bromley 008A,London,12.232,Other retail commercial areas,Urban major conurbation,
23884,72.0,Loc_012,62dfd90c6b1f5e434da58134,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23317,57.5,Loc_001,62da7aa8d4ee6f80b69950ee,E01005441,Oldham 002A,North West (England),40.0,Medium Obstruction housing areas,Urban major conurbation,
23763,109.0,Loc_013,62dfa7276b1f5e434da4d9fd,E01015735,Luton 020D,East of England,37.416,Medium Obstruction housing areas,Urban city and town,
22250,65.6,Loc_014,62d2b73d9a26f39fcfceba73,E01028641,South Oxfordshire 006D,South East (England),8.5,Rural roads,Rural village and dispersed,
23673,50.6,Loc_003,62dec6d153f434320d819ddf,E01003121,Lambeth 006B,London,32.792,Medium Obstruction housing areas,Urban major conurbation,
22619,57.2,Loc_015,62d3ebe3ff2bbb7802bfb917,E01028496,Cherwell 018D,South East (England),12.921,Other retail commercial areas,Urban city and town,
22605,51.1,Loc_009,62d3d89bff2bbb7802bf7bd8,E01028496,Cherwell 018D,South East (England),12.921,Rural roads,Urban city and town,
23807,51.5,Loc_007,62dfba516b1f5e434da52616,E01000674,Bromley 008A,London,12.232,Medium Obstruction housing areas,Urban major conurbation,
23785,52.5,Loc_008,62dfafd76b1f5e434da4ec22,E01000674,Bromley 008A,London,12.232,High Obstruction housing areas,Urban major conurbation,
23869,71.0,Loc_008,62dfd2d86b1f5e434da571f0,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23854,54.0,Loc_005,62dfc9286b1f5e434da55335,E01004165,Sutton 005C,London,16.373,Medium Obstruction housing areas,Urban major conurbation,
23620,63.0,Loc_004,62de976cbde2bd68bda16596,E01002423,Hillingdon 018B,London,13.735,Rural roads,Urban major conurbation,
23357,62.0,Loc_006,633c67b32c4227cd1e3b0236,E01013831,Nottingham 009C,East Midlands (England),18.146,Low Obstruction housing areas,Urban minor conurbation,
23578,73.0,Loc_001,62de7ec82750f893511ef638,E01002423,Hillingdon 018B,London,13.735,Medium Obstruction housing areas,Urban major conurbation,
23911,58.6,Loc_011,62dfe2ce6b1f5e434da5958d,E01006164,Trafford 014C,North West (England),10.536,Main roads,Urban major conurbation,
23119,58.9,Loc_007,633c6797c3303f8db00b8dc2,E01013105,East Riding of Yorkshire 027A,Yorkshire and The Humber,15.441,Medium Obstruction housing areas,Urban city and town,
