"segment_id","all_count","non_srl_count","food_count","drink_count","wrapper_count","bottle_count","can_count","LSOA","Loc","unique_ID","segment_distance","land_use","LSOA_Name","Region","imd_score","income_score","employment_score","education_score","health_score","crime_score","housing_score","environment_score","imd_quintile","urban_rural"
"22222",14,14,6,2,5,1,0,"E01028641","Loc_003","1657954259500",17.8,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22224",6,5,1,0,1,0,0,"E01028641","Loc_006","1657955036725",10.8,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22226",8,7,0,5,0,1,4,"E01028641","Loc_001","1657955467128",11,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22228",3,2,0,1,0,0,0,"E01028641","Loc_004","1657955968598",20.4,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22229",1,1,0,0,0,0,0,"E01028641","Loc_004","1657955968621",12,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22230",10,9,4,4,4,1,3,"E01028641","Loc_002","1657956463237",32.1,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22232",1,0,0,0,0,0,0,"E01028641","Loc_007","1657956941729",13.4,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22233",4,3,2,0,2,0,0,"E01028641","Loc_007","1657956941760",19.2,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22234",1,1,0,1,0,0,1,"E01028641","Loc_010","1657957453055",41.7,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22235",2,2,0,0,0,0,0,"E01028641","Loc_010","1657957453094",44.7,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22236",57,52,26,18,18,4,9,"E01028641","Loc_008","1657958169161",20.2,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
